id,judul,isi
1,"GPIB usung tema Natal ""Allah Memulihkan Kehidupan Seluruh Ciptaan""","Jakarta (ANTARA) - Gereja Protestan di Indonesia bagian Barat (GPIB) Immanuel Jakarta mengusung tema Natal 2025, Allah Memulihkan Kehidupan Seluruh Ciptaan sebagai semangat positif bahwa Tuhan akan memulihkan seluruh ciptaannya yang sedang dilanda kemalangan. Ketua V GPIB Immanuel Jakarta Steve Loupatty ditemui di Gereja Immanuel, Jakarta, Kamis, mengatakan tema ini diusung sebagai bentuk kepedulian umat Kristiani terhadap bencana yang melanda berbagai daerah di Indonesia pada beberapa waktu belakangan. Baca juga: Jemaat GPIB Immanuel jalankan ibadah misa Natal dengan khidmat ""GPIB mengusung tema tersebut, karena sangat relevan dengan keadaan negeri ini. Jadi, Allah atau Tuhan itu akan memulihkan semua ciptaan tanpa memandang suku, agama atau ras,"" katanya. Steve menyebut tema yang diusung kali ini juga diperkuat dengan partisipasi aktif jemaat yang menyumbangkan hartanya untuk masyarakat terdampak bencana. ""Sejak kejadian di Sumatera dan Jawa Timur, beberapa hari setelah itu, GPIB Immanuel sudah mengumpulkan donasi. Hal tersebut sudah diaplikasikan langsung, ada dari GPIB membawa bantuan tersebut ke Sumatera dan Jawa Timur,"" ujarnya. Steve mewakili GPIB berharap Natal tahun ini bisa menjadi sumber kebahagiaan setiap orang, hidup sederhana, dan menerapkan budaya saling tolong-menolong antarsesama umat manusia. ""Seperti diusung oleh Kepala Negara kita, bisa kita aplikasikan dalam kehidupan kita sehari-hari, dan saling membantu, tolong-menolong antara sesama umat, tanpa memandang suku dan agama,"" tutur Steve Loupatty. Baca juga: Malam Natal, Menkopolkam ajak umat doakan masyarakat dilanda bencana Baca juga: Humaniora kemarin, perayaan Natal hingga mudik akhir tahun Sebelumnya, Menteri Agama Nasaruddin Umar mengajak umat Kristiani memaknai Natal tahun ini sebagai panggilan untuk kembali merawat keluarga, tempat pertama dimana kasih, iman, dan harapan dilahirkan. Dengan tema Natal 2025, Allah Hadir untuk Menyelamatkan Keluarga , Menag menegaskan keluarga adalah jantung kehidupan berbangsa. Dari rumah-rumah yang utuh dan penuh kasih, lahir gereja yang kuat, masyarakat yang rukun, dan Indonesia yang berpengharapan. ""Jika keluarga dipulihkan, gereja akan bertumbuh. Jika gereja kuat, masyarakat menjadi rukun, dan jika keluarga-keluarga kita tangguh, bangsa ini akan menemukan kembali arah dan harapannya,"" ujar Menag. Pewarta: Sean Filo Muhamad Editor: Endang Sukarelawati Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
2,IKN acuan dan referensi pembangunan kota masa depan,"Peran insinyur sangat penting sebagai aktor utama pembangunan di era reindustrialisasi dan digitalisasi Penajam Paser Utara (ANTARA) - Ibu Kota Nusantara (IKN) yang dibangun di sebagian Kabupaten Penajam Paser Utara dan Kabupaten Kutai Kartanegara, Provinsi Kalimantan Timur, bisa menjadi acuan dan referensi pembangunan kota lainnya sebagai masa depan. ""IKN dapat menjadi acuan dan referensi bagi pembangunan kota masa depan Indonesia,"" ujar Ketua Umum Persatuan Insinyur Indonesia (PII), Ilham Akbar Habibie ketika menyampaikan paparan mengenai IKN di Sepaku, Penajam Paser Utara, Kamis. Sebagai seorang insinyur, lanjut dia, IKN sebagai suatu acuan atau referensi membangun kota karena IKN dibangun mulai dari nol dan bisa laboratorium bagi pembangunan di tempat-tempat lainnya ke depan. ""Peran insinyur sangat penting sebagai aktor utama pembangunan di era reindustrialisasi dan digitalisasi,"" tambah Ilham Akbar Habibie. Baca juga: Komposisi penduduk IKN modal pembangunan jangka panjang Otorita IKN dan PII memperkuat peran mahasiswa Kalimantan Timur (Kaltim) sebagai Insinyur muda IKN, yang diharapkan mampu mengambil peran aktif sebagai calon pemimpin dan insan profesional yang berkontribusi langsung dalam pembangunan IKN. Keberlanjutan pembangunan IKN kini memasuki tahap strategis sesuai Peraturan Presiden (Perpres) Nomor 79 Tahun 2025, jelas Kepala Otorita IKN Basuki Hadimuljono, IKN diproyeksikan menjadi Ibu Kota Politik pada 2028. Kolaborasi Otorita IKN dengan Pemerintah Provinsi Kaltim dan PII, timpal dia lagi, sebagai bagian dari upaya memperkuat peran generasi muda dalam pembangunan dan perkembangan IKN. Kolaborasi tersebut dikemas dalam bentuk Mahasiswa Kaltim Goes to IKN 2025, diikuti perguruan tinggi yang ada di wilayah Provinsi Kaltim seperti Universitas Balikpapan, Universitas Muhammadiyah Kalimantan Timur, Politeknik Negeri Samarinda, hingga berbagai universitas lainnya. Pembangunan yang dilakukan menyiapkan IKN menuju 2028 yang artinya kepala negara menginginkan secara konstitusi dan hukum, bahwa Indonesia bakal memiliki Ibu Kota Politik pada 2028, demikian Basuki Hadimuljono. Baca juga: 856 petugas pendataan catat jumlah penduduk IKN 147.427 jiwa Pewarta: Nyaman Bagus Purwaniawan Editor: Sambas Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
3,Tema Natal 2025 jadi fondasi bangun kembali hubungan sehat di keluarga,"Jakarta (ANTARA) - Kantor Wilayah Kementerian Agama (Kemenag) DKI Jakarta mengemukakan perayaan Natal 2025 yang mengusung tema “Allah Hadir untuk Menyelamatkan Keluarga” menjadi fondasi untuk membangun kembali hubungan yang sehat dan bermakna khususnya di dalam keluarga. ""Tema ini menjadi pengingat bahwa kasih Tuhan hadir di tengah kesulitan dan dapat menjadi fondasi untuk membangun kembali hubungan yang sehat dan bermakna,"" kata Pembimbing Masyarakat (Pembimas) Katolik Kantor Wilayah (Kanwil) Kemenag DKI Jakarta, Antonius Sinaga saat dihubungi di Jakarta, Kamis. Dia menyampaikan, makna keselamatan tidak berhenti pada kisah sejarah, melainkan hadir di tengah tantangan keluarga modern, mulai dari tekanan ekonomi, persoalan kesehatan mental hingga relasi antargenerasi. ""Banyak keluarga saat ini menghadapi konflik internal, dampak bencana alam hingga kecemasan akan masa depan,"" kata dia. Karena itu, perayaan Natal tahun ini diharapkan dapat membantu keluarga-keluarga Katolik, termasuk di Keuskupan Agung Jakarta untuk bertumbuh dan bergerak bersama guna mewujudkan pertobatan ekologis. Baca juga: Libur Nataru, ada skrining gula darah dan jiwa di layanan transportasi Baca juga: Natal 2025, warga DKI diimbau terus merawat harmoni dan solidaritas Dengan begitu, perayaan Natal bukan hanya perayaan seremonial tetapi berdampak bagi kehidupan dan kebahagiaan umat manusia di masa yang akan datang. Pada kesempatan terpisah, Kepala Kantor Kanwil Kemenag DKI Jakarta, Adib mengimbau umat Kristiani dan warga di Jakarta terus merawat harmoni, menghargai keragaman, memperkuat persaudaraan serta memupuk solidaritas. ""Terutama memupuk solidaritas bagi kawan kawan kita yang sedang menghadapi musibah di Aceh, Sumatera Utara dan Sumatera Barat,"" kata dia. Begitu pula dengan penyambutan Tahun Baru 2026 sebaiknya dilakukan dengan penuh kesadaran dan empati terhadap masyarakat di Pulau Sumatera yang masih dalam situasi pemulihan pascabencana banjir bandang dan tanah longsor. Pewarta: Lia Wanadriani Santosa Editor: Sri Muryono Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
4,Toshiba Luncurkan Komparator Ganda CMOS Dengan Respons Kecepatan Tinggi dan Rentang Input/Output Penuh yang Cocok Untuk Deteksi Arus Berlebih Pada Peralatan Industri,"Kawasaki, Jepang --(ANTARA/Business Wire)-- Toshiba Electronic Devices & Storage Corporation (""Toshiba"") meluncurkan komparator ganda CMOS, "" TC75W71FU ."" Komparator ini memiliki respons berkecepatan tinggi dan rentang input/output penuh ( Rail to Rail ), sehingga cocok digunakan untuk deteksi arus berlebih pada peralatan industri [1] . Pengiriman dimulai hari ini. Peralatan industri zaman sekarang menggunakan arus besar pada penggerak motor dan rangkaian listrik. Risikonya, terjadi arus berlebih mendadak sehingga dapat merusak peralatan, menghentikan jalur produksi, dan bahkan mengurangi keamanan; deteksi cepat dan perlindungan dari risiko ini sangat penting. Karena terus-menerus berusaha mencapai efisiensi lebih tinggi dan memperkecil ukuran produk, kisaran arus dan tegangan yang dapat didukung oleh sirkuit semakin sempit, dan bahkan arus berlebih sedikit juga dapat menimbulkan beban besar pada sirkuit. Sehingga lebih memerlukan teknologi deteksi arus berlebih yang lebih cepat dan lebih akurat. Produk baru ini dilengkapi waktu tunda perambatan lebih cepat dibanding TC75W56FU yang ada, dengan maksimum 45 nanodetik untuk transisi rendah ke tinggi dan 30 nanodetik untuk transisi tinggi ke rendah [2] . Karena itu, peralatan dapat dihentikan seketika jika terjadi arus berlebih sehingga akan meningkatkan keamanan operasional. Rentang tegangan input/outputnya mendukung rentang penuh - pengoperasian dari tegangan catu daya minimum (GND) hingga maksimum (Vcc) - sehingga membuat desain lebih mudah. Tegangan catu daya operasional minimum sebesar 1,8V dan mendukung pengoperasian tegangan rendah. Karena komparator baru ini juga dilengkapi output dorong-tarik [3] dan waktu naik turun sinyal yang cepat, maka tidak memerlukan resistor penarik eksternal dan dapat mempertahankan level tegangan yang stabil. Selain TC75W71FU, TC75W72FU (dilengkapi tambahan histeresis untuk meningkatkan kekebalan kebisingan) dan TC75W73FU [4] (dilengkapi histeresis dan output open-drain [5] yang mampu mengirimkan sinyal ke domain tegangan yang berbeda dari catu daya komparator) akan mulai diproduksi massal pada bulan Februari 2026. Toshiba akan terus mengembangkan komparator yang dapat meningkatkan keamanan maupun keandalan peralatan industri dan memperluas lini produk untuk memenuhi berbagai kebutuhan pelanggan. Catatan: [1] Robot industri, generator, Uninterruptible Power Supply (UPS), transformator, dan lain-lain. [2] Waktu tunda perambatan pada produk TC75W56FU yang ada: Dalam kondisi pengukuran V DD =3V, dari rendah ke tinggi biasanya 550 nano detik, dari tinggi ke rendah biasanya 250 nano detik. [3] Output dorong-tarik: konfigurasi di mana rangkaian output mencakup dua transistor, satu di bagian atas rangkaian dan satunya di bagian bawah, yang aktif menggerakkan level tinggi dan rendah. [4] Waktu tunda perambatan hanya 30 nanodetik (tinggi ke rendah) dalam kondisi pengukuran V DD =3,3 V. [5] Output open-drain: konfigurasi di mana rangkaian output hanya mencakup transistor bagian bawah yang aktif menggerakkan level rendah. Penggunaan Peralatan industri (Robot industri, UPS, generator fotovoltaik, catu daya, dan lain-lain) Peralatan konsumen (peralatan rumah tangga, catu daya, dan lain-lain) Fitur Rentang I/O penuh Penggerak tegangan rendah: 1,8 V Respons kecepatan tinggi: tPLH 45 nanodetik (maks), tPHL 30 nanodetik (maks) (V DD =3,3 V) Spesifikasi Utama Nomor Suku Cadang TC75W71FU TC75W72FU [6] TC75W73FU [6] Nama paket (Kode paket) SOT-505 (SM8) Peringkat operasional Tegangan catu daya V DD (V) T opr =-40 sampai 125 °C 1,8 sampai 5,5 DC characteristics Arus catu daya I DD (μA) V DD =1,8 V, V OUT =Tinggi, V IN =V SS, T a =25 °C Tip. 276 Tegangan offset input V IO (mV) V DD =1,8 V, V SS IN DD , T a =25 °C Maks 17 Tegangan histeresis input V HYST (mV) V IN =V SS , V DD =1,8 V, T a =25 °C Tip. － 3,5 Rendah ke Tinggi, Overdrive 100 mV tPLH (nanodetik) V DD =3,3 V, T a =25 °C Tip. 23 － Maks 45 － Tinggi ke Rendah, Overdrive 100 mV tPHL (nanodetik) V DD =3,3 V, T a =25 °C Tip. 14 11 Maks 30 30 Jenis output Dorong-tarik Open-drain Rentang input dan output penuh Rail to Rail I/O Pemeriksaan & Ketersediaan Sampel Beli Online － － Catatan: [6] Produksi massal akan dimulai pada bulan Februari 2026. Ikuti tautan berikut untuk informasi lebih lanjut tentang produk baru ini. TC75W71FU Untuk melihat konten mengenai amplifier operasional dan komparator Toshiba, kunjungi: Dasar-dasar Amplifier Operasional dan Komparator Untuk memeriksa ketersediaan produk baru di distributor online, kunjungi: TC75W71FU Beli Online * Nama perusahaan, nama produk, dan nama layanan mungkin adalah merek dagang milik masing-masing perusahaan. * Informasi dalam dokumen ini, termasuk harga dan spesifikasi produk, konten layanan dan informasi kontak, adalah yang terbaru pada tanggal pengumuman namun dapat berubah tanpa pemberitahuan sebelumnya. Tentang Toshiba Electronic Devices & Storage Corporation Toshiba Electronic Devices & Storage Corporation adalah penyedia terkemuka di bidang solusi semikonduktor dan solusi penyimpanan yang canggih. Dengan pengalaman dan inovasi selama lebih dari setengah abad, kini menawarkan semikonduktor diskrit, produk sistem LSI sistem dan HDD yang luar biasa kepada pelanggan dan mitra bisnis. 17.000 karyawannya di seluruh dunia memiliki tekad yang sama, yaitu memaksimalkan nilai produk dan mendorong kerja sama erat dengan pelanggan untuk menciptakan nilai dan pasar baru bersama-sama. Perusahaan ini berharap dapat membangun dan berkontribusi terhadap masa depan yang lebih baik bagi semua orang di mana saja Ketahui lebih lanjut di https://toshiba.semicon-storage.com/ap-en/top.html Pengumuman ini dianggap sah dan berwenang hanya dalam versi bahasa aslinya. Terjemahan-terjemahan disediakan hanya sebagai alat bantu, dan harus dengan penunjukan ke bahasa asli teksnya, yang adalah satu-satunya versi yang dimaksudkan untuk mempunyai kekuatan hukum. Tersedia Galeri Multimedia/Foto: https://www.businesswire.com/news/home/20251223600868/en Contacts Pertanyaan Pelanggan: Analog Device Sales & Marketing Dept. Tel: +81-44-548-2219 Hubungi Kami Pertanyaan Media: C. Nagasawa Communications & Market Intelligence Dept. Toshiba Electronic Devices & Storage Corporation semicon-NR-mailbox@ml.toshiba.co.jp Sumber: Toshiba Electronic Devices & Storage Corporation Pewarta: PR Wire Editor: PR Wire Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
5,DPR: Fasilitas praktik mahasiswa Penjas tombak pembinaan olahraga,"Jakarta (ANTARA) - Anggota Komisi X DPR RI Abdul Fikri Faqih menilai kelengkapan fasilitas praktik bagi mahasiswa Pendidikan Jasmani (Penjas) menjadi ujung tombak dalam pembinaan olahraga di masyarakat. ""Kelengkapan fasilitas praktik sangat vital bagi mahasiswa Penjas yang nantinya menjadi ujung tombak pembinaan olahraga di masyarakat,"" kata Fikri dikutip di Jakarta, Kamis. Sejalan dengan itu, ia menyambut baik penyaluran bantuan sarana dan prasarana olahraga dari Kementerian Pemuda dan Olahraga (Kemenpora) di Universitas Muhammadiyah Brebes (UMBS). Fikri juga meninjau langsung penyaluran bantuan itu. Baca juga: Guru pendidikan jasmani dan seni di China meningkat 10 tahun terakhir Kunjungan legislator dari Daerah Pemilihan (Dapil) Jawa Tengah IX itu bertujuan untuk memastikan bantuan yang diberikan pemerintah pusat telah diterima dan bermanfaat bagi proses perkuliahan. Ia berharap bantuan fasilitas keolahragaan dapat menunjang kualitas akademik mahasiswa, khususnya pada Program Studi Pendidikan Jasmani yang dinilai memiliki peran strategis di wilayah Brebes. Dalam tinjauannya, Fikri melihat sejumlah peralatan yang telah tiba di kampus tersebut, antara lain meja tenis, peralatan keselamatan berupa pelampung untuk mata kuliah akuatik, serta berbagai sarana pendukung cabang olahraga atletik. Menurutnya, kehadiran fasilitas yang memadai itu berperan krusial mengingat posisi UMBS sebagai satu-satunya perguruan tinggi yang memiliki program studi olahraga di wilayah Tegal dan Brebes. Fikri Faqih juga mengapresiasi terealisasinya bantuan tersebut. Lebih lanjut, dia menjelaskan bahwa selain meja tenis bantuan Kemenpora, pihak kampus juga telah memiliki fasilitas pendukung lainnya, sehingga sarana yang tersedia menjadi semakin lengkap. Fikri berharap agar fasilitas tersebut tidak hanya menunjang nilai akademik, tetapi juga menjadi kawah candradimuka atau tempat pengembangan diri bagi lahirnya atlet-atlet potensial. “Selain itu, lulusan Penjas UMBS nantinya juga diharapkan menjadi guru olahraga yang memiliki mata jeli dalam melihat dan mengembangkan bakat anak didik di daerah,” kata Fikri. Baca juga: Peneliti: pendidikan jasmani masih dianggap sekunder Baca juga: Guru Besar : Pendidikan Jasmani Tentukan Keberhasilan Pembelajaran Fikri berharap agar bantuan tersebut dapat memacu semangat civitas akademika UMBS untuk terus berkembang. Ia optimistis dengan sarana yang semakin lengkap, kampus tersebut dapat melahirkan prestasi yang membanggakan, baik di kancah nasional maupun internasional melalui tangan dingin para calon guru olahraga yang sedang ditempa saat ini. Merespons kunjungan dan bantuan tersebut, Ketua Program Studi (Kaprodi) Penjas UMBS, Mar’atul Afifah menyampaikan rasa terima kasihnya atas fasilitasi yang diperjuangkan oleh Komisi X DPR RI bersama Kemenpora. “Keberadaan alat-alat baru, seperti meja tenis, peralatan renang dan atletik tersebut sangat signifikan dalam menunjang kelancaran berbagai mata kuliah praktik yang selama ini menjadi kebutuhan utama mahasiswa,” kata dia. Pewarta: Tri Meilani Ameliya Editor: Endang Sukarelawati Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
6,Bamsoet: Natal momen perkuat toleransi dan solidaritas di saat bencana,"Di tengah bencana yang terjadi di sejumlah wilayah Indonesia, Natal harus dimaknai sebagai panggilan moral untuk memperkuat rasa empati, solidaritas serta persatuan Jakarta (ANTARA) - Anggota Komisi III DPR RI Bambang Soesatyo (Bamsoet) mendorong perayaan Natal 2025 menjadi momentum penting untuk memperkuat toleransi, solidaritas serta empati sosial, seiring meningkatnya frekuensi bencana alam dan bertambahnya jumlah warga terdampak di berbagai wilayah Indonesia. ""Di tengah bencana yang terjadi di sejumlah wilayah Indonesia, Natal harus dimaknai sebagai panggilan moral untuk memperkuat rasa empati, solidaritas serta persatuan. Pesan Natal adalah pesan universal tentang kasih dan persaudaraan. Dalam situasi bencana, tidak ada perbedaan agama, suku, atau golongan. Yang ada hanyalah sesama anak bangsa yang saling menolong dan saling menguatkan,"" kata Bamsoet di Jakarta, Kamis. Data Badan Nasional Penanggulangan Bencana (BNPB) mencatat lebih dari 2.900 kejadian bencana terjadi sepanjang tahun 2025, dengan dominasi banjir, cuaca ekstrem, dan tanah longsor. Dampaknya tidak kecil, mulai dari korban jiwa, kerusakan rumah dan infrastruktur, hingga jutaan warga yang harus mengungsi dan kehilangan mata pencaharian. Khusus bencana banjir Sumatera, hingga tanggal 24 Desember, jumlah korban jiwa mencapai 1.129 orang. Sementara 174 orang masih dinyatakan hilang dan sebanyak 496.293 jiwa masih berada di tempat pengungsian. Ketua DPR RI ke-20 ini memaparkan, korban bencana hampir selalu berasal dari kelompok paling rentan secara ekonomi dan sosial. Banyak di antara mereka hidup di kawasan rawan bencana, memiliki rumah dengan konstruksi seadanya, serta bergantung pada sektor informal yang mudah lumpuh ketika bencana datang. Kondisi ini membuat pemulihan hidup pascabencana berjalan lambat dan penuh ketidakpastian. “Ketika saudara-saudara kita yang terdampak bencana masih berada di pengungsian, tanpa rumah dan tanpa kepastian masa depan, di situlah nurani kebangsaan kita diuji. Seluruh anak bangsa mempunyai kewajiban moral untuk hadir, membantu, serta menguatkan saudara kita yang terdampak bencana tanpa melihat perbedaan apa pun,"" ujarnya. Ia menekankan pentingnya solidaritas sosial yang berkelanjutan. Bantuan kepada korban bencana tidak boleh berhenti pada penyaluran logistik awal. Negara dan masyarakat perlu memastikan pemulihan ekonomi warga terdampak, termasuk petani, nelayan, dan pelaku usaha kecil yang kehilangan mata pencaharian akibat banjir dan longsor. ""Perayaan Natal tahun ini menjadi ruang refleksi bersama bahwa perbedaan keyakinan tidak pernah menjadi penghalang untuk bersatu. Justru dalam situasi krisis, nilai toleransi dan gotong royong harus semakin diperkuat. Jika nilai-nilai ini kita pegang bersama, saya yakin Indonesia mampu melewati setiap krisis, termasuk bencana alam yang terus menguji kita,"" tutur Bamsoet. Baca juga: Seskab dan Mensos bahas BLT untuk pengungsi Sumatera, minimal Rp8 juta/KK Baca juga: Fadli Zon serahkan bantuan bagi warga terdampak bencana di Sumatera Pewarta: Fianda Sjofjan Rassat Editor: Tasrief Tarmizi Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
7,Dongeng populer berlatar Natal,"Beragam dongeng populer berlatar cerita saat momen Natal memiliki pesan positif yang membawa kehangatan di hati seperti berikut. Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
8,Jemaat GPIB Immanuel jalankan ibadah misa Natal dengan khidmat,"Jakarta (ANTARA) - Jemaat Gereja Protestan di Indonesia bagian Barat (GPIB) Immanuel Jakarta yang mencapai ratusan orang melaksanakan rangkaian ibadah misa Natal 2025 dengan khidmat. Berdasarkan pantauan ANTARA di lokasi, Kamis, jemaat mulai memadati gereja sekitar pukul 08.00 WIB. Kegiatan ibadah dimulai pada 09.00 WIB. Baca juga: GPIB Immanuel apresiasi terowongan silaturahim jaga nilai keberagaman Jemaat memadati ruangan ibadah utama dan meluap hingga ke tempat yang disediakan oleh panitia di lantai dua, teras hingga halaman gereja. Ketua V GPIB Immanuel Jakarta Steve Loupatty mengatakan pihaknya bersyukur kegiatan ibadah pada tahun ini dihadiri oleh lebih banyak jemaat dengan penampilan yang sederhana, namun tetap sopan. "" Blessing buat kita untuk tahun ini. Selain kesederhanaan tadi, jemaat yang datang sangat banyak, sekitar 700 orang. Seperti bapak/ibu lihat, mungkin juga didukung oleh cuaca yang bagus,"" kata Steve. Antusias jemaat, kata Steve, juga terlihat sejak ibadah misa malam Natal, dimana dua misa yang tersedia, yakni pukul 18.00 WIB dan 21.00 WIB dipadati sekitar 2.000 orang. Pada hari ini, kegiatan ibadah direncanakan digelar sebanyak tiga kali, pertama pada 09.00 WIB, kemudian layanan ibadah berbahasa Inggris pada 16.00 WIB, serta layanan ibadah selanjutnya pada 18.00 WIB. ""Kami bersyukur dan gembira dengan banyaknya umat yang hadir. Banyak juga tercerahkan dengan program-program dari gereja,"" ucap Steve Loupatty. Sementara itu, Menteri Agama (Menag), Nasaruddin Umar mengajak umat Kristiani memaknai Natal tahun ini sebagai panggilan untuk kembali merawat keluarga, tempat pertama dimana kasih, iman, dan harapan dilahirkan. Baca juga: GPIB Immanuel sediakan tempat khusus jemaat disabilitas saat Natal Baca juga: GPIB Immanuel: Toleransi dari pemimpin bangsa bawa kekalnya kedamaian Dengan tema Natal 2025, Allah Hadir untuk Menyelamatkan Keluarga , Menag menegaskan keluarga adalah jantung kehidupan berbangsa. Dari rumah-rumah yang utuh dan penuh kasih, lahir gereja yang kuat, masyarakat yang rukun, dan Indonesia yang berpengharapan. ""Jika keluarga dipulihkan, gereja akan bertumbuh. Jika gereja kuat, masyarakat menjadi rukun. Jika keluarga-keluarga kita tangguh, bangsa ini akan menemukan kembali arah dan harapannya,"" ujar Menag. Pewarta: Sean Filo Muhamad Editor: Endang Sukarelawati Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
9,Gubernur Bangka Belitung pastikan Natal 2025 aman dan damai,"Pangkalpinang (ANTARA) - Gubernur Kepulauan Bangka Belitung (Babel) Hidayat Arsani memastikan Perayaan Natal 2025 di Kepulauan Babel berjalan aman, tertib dan damai, seiring ditingkatkannya pengamanan di sejumlah gereja di daerah itu. “Kami dapat memastikan perayaan Natal tahun ini berjalan aman, tertib dan kondusif,"" kata Hidayat Arsani di Pangkalpinang, Kamis. Baca juga: Babel pastikan kenyamanan masyarakat dalam beribadah Natal Dalam memastikan suasana kondusif pada perayaan Natal 2025, ia bersama Forkopimda Provinsi Kepulauan Bangka Belitung memantau pelaksanaan ibadah Natal di sejumlah gereja di Kota Pangkalpinang yang berjalan aman, tertib, damai dan penuh suka cita. ""Kami pastikan kesiapan sarana dan prasarana pengamanan di rumah ibadah serta titik keramaian agar masyarakat dapat merayakan Natal dengan tenang,” ujarnya. Ia menyampaikan keyakinannya bahwa kondisi kerukunan di Bangka Belitung selama ini terjaga dengan sangat baik. Hal tersebut tercermin dari Survei Indeks Kerukunan Umat Beragama (IKUB) Tahun 2025, dimana Bangka Belitung meraih nilai 85,41, melampaui rata-rata nasional 77,89. Bahkan, pada indikator toleransi, Babel mencatat angka 92,8, lebih tinggi dari capaian nasional 88,82. Sementara indikator kesetaraan mencapai 83,86 dan kebersamaan 79,57, yang juga berada di atas rata-rata nasional. Baca juga: 37 WBP di Lapas se-Babel terima remisi khusus Natal Baca juga: KSOP Pangkalbalam prioritas bongkar kapal muatan sembako jelang Natal ""Capaian ini sudah kita diumumkan secara resmi pada kegiatan Refleksi Tahun 2025 dan Proyeksi Tahun 2026 bertema Toward a Loving Future Ummah di Jakarta, 22 Desember 2025,"" katanya. Ia menyampaikan ucapan selamat Natal secara langsung kepada umat Kristiani. “Selamat merayakan Natal 2025. Semoga kasih dan damai Natal senantiasa menyertai kita semua, memperkuat toleransi, persaudaraan, dan kebersamaan di Bumi Serumpun Sebalai,” ungkapnya. Pewarta: Aprionis Editor: Endang Sukarelawati Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
10,"Libur Nataru, ada skrining gula darah dan jiwa di layanan transportasi","Jakarta (ANTARA) - Dinas Kesehatan DKI Jakarta menyediakan layanan skrining kesehatan seperti gula darah, tekanan darah dan jiwa di layanan transportasi, tempat wisata serta tempat ibadah selama masa libur Natal 2025 dan Tahun Baru 2026 (Nataru). Kepala Dinas Kesehatan Provinsi DKI Jakarta, Ani Ruspitawati saat dihubungi di Jakarta, Kamis, menyampaikan pemeriksaan yang merupakan bagian dari Program Cek Kesehatan Gratis (CKG) paket cepat bagi penumpang dan masyarakat ini meliputi skrining mandiri, yakni jiwa, Tuberkulosis, aktivitas merokok dan aktivitas fisik. Lalu, status gizi (berat badan, tinggi badan dan lingkar perut), tekanan darah, gula darah sewaktu, konseling, edukasi serta anamnesa PPOK dan kanker paru. ""Khusus untuk pengemudi, selain CKG paket cepat juga dilakukan pemeriksaan alkohol respirasi dan amphetamin urine/NAPZA untuk menentukan laik mengemudi,"" kata Ani. Adapun lokasi pelayanan kesehatan ini tersebar di tujuh terminal, dua stasiun, enam destinasi wisata, dua pelabuhan serta gereja di lima wilayah kota Jakarta. Baca juga: Natal 2025, warga DKI diimbau terus merawat harmoni dan solidaritas Baca juga: 623 personel Satpol PP Jaksel amankan 120 lokasi selama Nataru Ketujuh terminal, yakni Pulogebang, Tanjung Priok, Kalideres, Kampung Rambutan, Grogol, Muara Angke dan Lebak Bulus. Lalu, di dua stasiun, yaitu Stasiun Pasar Senen dan Gambir. Selanjutnya di enam destinasi wisata, yakni Monas, Ancol, TMII, Ragunan, Kota Tua dan Kepulauan Seribu. Berikutnya pelabuhan, yakni Pelabuhan Kali Adem, Muara Angke dan Dermaga Marina Ancol di Jakarta Utara (Jakut). ""Personel yang disiapkan (di posko kesehatan) terdiri dari dokter, perawat, analis laboratorium yang merupakan dukungan dari Puskesmas dan RSUD di DKI Jakarta,"" ujar Ani. Berdasarkan data laporan dalam tiga tahun terakhir, penyakit terbanyak yang ditemukan pada penumpang selama libur Nataru, yakni hipertensi, diabetes, sindrom sakit kepala dan nyeri lambung. Pewarta: Lia Wanadriani Santosa Editor: Sri Muryono Copyright © ANTARA 2025 Dilarang keras mengambil konten, melakukan crawling atau pengindeksan otomatis untuk AI di situs web ini tanpa izin tertulis dari Kantor Berita ANTARA."
